filename,ACI,ADI,AEI,BIO,Class,comment
LEEC03__0__20161116_064400_ma.wav,900.594834141488,1.1511545,0.0064455,7.15050934711507,vire_chiv,group 3
LEEC03__0__20161117_063100_ma.wav,4532.02202579831,0.731214,0.335281,8.4950230622192,vire_chiv,group 5
LEEC03__0__20161117_071600_ma.wav,846.175767729132,1.15126,0.003152,6.37686472275244,vire_chiv,group 2
LEEC03__0__20161118_063100_ma.wav,1184.60574523697,1.1029615,0.1199745,9.0451413580809,vire_chiv,group 4
LEEC03__0__20161118_080100_ma.wav,5356.88367903173,1.0758505,0.1472685,8.51383363544858,vire_chiv,group 5
LEEC03__0__20161118_081400_ma.wav,348.825987468517,1.1009525,0.113525,8.35225791567132,vire_chiv,group 1
LEEC03__0__20161119_055900_ma.wav,796.35852368047,1.056573,0.162245,8.47923400580881,vire_chiv,group 2
LEEC03__0__20161119_071600_ma.wav,1088.61752526927,1.0411535,0.179345,9.87107333619202,vire_chiv,group 3
LEEC03__0__20161120_051400_ma.wav,3664.11219868261,0.958191,0.2255045,7.93640249396883,vire_chiv,group 5
LEEC03__0__20161120_072900_ma.wav,1925.59562632478,0.936533,0.2420915,9.0582413079588,vire_chiv,group 5
LEEC03__0__20161123_050100_aa.wav,1383.62237260803,0.741901,0.3148105,11.3942693550847,vire_chiv,group 4
LEEC03__0__20161123_055900_aa.wav,887.836989636356,1.123196,0.087775,8.40882383817017,vire_chiv,group 3
LEEC03__0__20161125_064400_aa.wav,592.061744844606,1.1510655,0.007585,6.3952093193096,vire_chiv,group 1
LEEC03__0__20161125_072900_aa.wav,674.30451011896,1.0294825,0.162155,7.58403785275669,vire_chiv,group 1
LEEC03__0__20161127_054600_aa.wav,804.90462659324,1.151275,0.0022085,5.36272513481684,vire_chiv,group 2
LEEC03__0__20161201_064400_aa.wav,900.2572789626,0.5226315,0.3764385,10.7493105285251,vire_chiv,group 3
LEEC03__0__20161203_055900_aa.wav,2971.33763495787,1.1413745,0.0496795,7.38880375551822,vire_chiv,group 5
LEEC03__0__20161203_064400_aa.wav,1119.80275268765,1.14861,0.0257875,6.67952530158719,vire_chiv,group 3
LEEC03__0__20161204_081400_aa.wav,1130.47760641176,0.9638985,0.2149795,7.77981655898777,vire_chiv,group 4
LEEC03__0__20161205_063100_aa.wav,987.21037184029,1.1512895,0.0009565,4.84274085831575,vire_chiv,group 3
LEEC03__0__20170101_072900_br.wav,858.178360425411,1.1486145,0.026279,6.96400027777036,vire_chiv,group 2
LEEC03__0__20170102_051400_br.wav,612.106082859124,1.149487,0.020734,6.78817104340326,vire_chiv,group 1
LEEC03__0__20170105_064400_br.wav,933.55394809695,1.0809085,0.1262825,7.22977855575282,vire_chiv,group 3
LEEC03__0__20170105_072900_br.wav,488.304190484421,1.151199,0.005064,5.54507646863424,vire_chiv,group 1
LEEC03__0__20170106_051400_br.wav,1162.92388289162,1.049711,0.169094,12.0577519854071,vire_chiv,group 4
LEEC03__0__20170106_054600_br.wav,2126.3911747186,1.11803,0.0934165,8.02253336934448,vire_chiv,group 5
LEEC03__0__20170108_064400_br.wav,650.446042945023,1.14562,0.038763,7.28467791413049,vire_chiv,group 1
LEEC03__0__20170109_063100_br.wav,499.201903773392,1.08509,0.1347485,8.35064776840118,vire_chiv,group 1
LEEC03__0__20170110_071600_br.wav,697.978529604069,1.1426485,0.045581,7.14648663206091,vire_chiv,group 1
LEEC03__0__20170111_064400_br.wav,531.013384363481,1.1164485,0.0916515,7.61930327651861,vire_chiv,group 1
LEEC03__0__20170111_080100_br.wav,787.652486559168,1.0249975,0.173241,8.17706568951301,vire_chiv,group 2
LEEC05__0__20161022_051400_ma.wav,371.440275124293,1.118398,0.0900265,7.79556838256846,vire_chiv,group 1
LEEC05__0__20161022_080100_ma.wav,1191.26713188793,1.071181,0.138812,8.12567768343087,vire_chiv,group 4
LEEC05__0__20161129_072900_aa.wav,646.835645824089,1.1469175,0.0334535,7.13186011252486,vire_chiv,group 1
LEEC05__0__20161129_080100_aa.wav,4825.73332374734,1.1265665,0.0843185,7.56976467804183,vire_chiv,group 5
LEEC05__0__20161130_064400_aa.wav,746.399202636745,1.138571,0.054747,7.28210044530519,vire_chiv,group 2
LEEC05__0__20161201_081400_aa.wav,655.108858417251,1.1181385,0.0956705,7.30496024058574,vire_chiv,group 1
LEEC05__0__20161202_071600_aa.wav,759.722267211056,1.1507345,0.0120645,7.07207836690606,vire_chiv,group 2
LEEC05__0__20161202_072900_aa.wav,775.917327363822,0.9814975,0.2046925,7.65421542164543,vire_chiv,group 2
LEEC05__0__20161203_055900_aa.wav,8047.43949621324,0.9667665,0.229405,8.42178369764647,vire_chiv,group 5
LEEC05__0__20161204_055900_aa.wav,763.170279932818,1.12748,0.075271,7.25450459940019,vire_chiv,group 2
LEEC05__0__20161205_072900_aa.wav,1183.4623973292,1.044182,0.1684275,8.93373319360423,vire_chiv,group 4
LEEC05__0__20161206_072900_aa.wav,1247.1720613046,1.149589,0.020268,7.47013185727518,vire_chiv,group 4
LEEC05__0__20161206_081400_aa.wav,892.099623005707,1.018403,0.192033,8.00430983179255,vire_chiv,group 3
LEEC05__0__20161208_055900_aa.wav,2851.84467045564,0.999381,0.1917085,7.54426958733935,vire_chiv,group 5
LEEC05__0__20161208_072900_aa.wav,949.892314742763,0.923649,0.237455,9.96451653004409,vire_chiv,group 3
LEEC05__0__20161208_081400_aa.wav,928.501717599606,1.149292,0.02294,6.94571114345227,vire_chiv,group 3
LEEC05__0__20161209_064400_aa.wav,1507.1041389015,1.0399645,0.1780135,8.28114332010937,vire_chiv,group 4
LEEC05__0__20161209_081400_aa.wav,5501.41365934008,1.0875435,0.133279,7.33627322868921,vire_chiv,group 5
LEEC05__0__20161210_064400_aa.wav,9598.69654228167,1.0766565,0.1493285,6.90685468196085,vire_chiv,group 5
LEEC05__0__20161212_064400_aa.wav,1116.99577616002,1.1503175,0.0154395,6.64589604857694,vire_chiv,group 3
LEEC05__0__20161218_080100_aa.wav,599.913762328332,1.0911735,0.122621,7.80739168461179,vire_chiv,group 1
