filename,Class,ACI,ADI,AEI,BIO,RUGOSITY,MEAN_PSD,STD_PSD,MSP,SPL,SNR,H,Hf,Ht,M,RMS,ROUGHNESS,NPEAKS,BGN,ZCR,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,AR,habitat,low,time,high,date,hour,loc
LEEC02__0__20170103_080100_br.wav,colu_talp,3387.71390653202,0.911579,0.243744,4.59560301949579,0.0325582733702821,5850.26937007836,29019.4433539946,2.34010774803134e-06,37.6717586321813,0.201598262885806,0.615979103024651,0.622770589910678,0.989094721240769,0.606122883741289,22727.1082045634,0.158090927551166,127,82.8773534254833,0.0406074155948553,101.916103835441,16.1298027099723,-5.7638064293024,-8.86136010628952,-16.7836106984861,-13.7876849267446,-8.38150016971203,0.618869761679183,0.514331146802812,-3.80987105475829,-6.42594750384618,-2.46777213074415,0.465836682678169,2,456.3,1.8041128819999983,1369.0,20170103,80100,LEEC02
LEEC03__0__20170111_064400_br.wav,colu_talp,4342.40242697315,0.3769935,0.415248,6.41875760415928,0.0026304542742335,136.378170464022,983.656251890201,5.45512681856088e-08,21.3474486001454,0.138644135288071,0.474927759938267,0.483291563596404,0.982694083058479,0.0795836240066002,3777.03779232283,0.11616653401064,60,65.8886123171215,0.0206834532374101,45.3801022171261,31.0906646596985,15.8214608757063,-0.786798903181738,-8.47874618043558,-9.28605091828663,-5.07141434604106,-4.23044380751606,-6.19586124188291,-8.01658007784809,-7.23283303235232,-5.40128044376122,0.0001960592098813,2,272.9,2.41962478,655.0,20170111,64400,LEEC03
LEEC05__0__20161026_071600_ma.wav,colu_talp,21469.8042708642,0.4759285,0.3930535,4.0040605324882,0.0144852610972672,3492.71690286673,22211.1062023692,1.39708676114669e-06,35.4316338595103,0.157250920825103,0.511237038696254,0.516624624798655,0.989571565419476,0.45825706352116,17831.8581332,0.0610788350146732,110,80.0292277729199,0.0239615230387868,76.1722631279846,28.0804245153771,8.83866010371548,0.582381939160181,-9.44227035487955,-9.46367816668993,-8.11411503251398,-5.89194880192007,-6.85130828517765,-6.77166115424061,-5.79981155929176,-3.77660729787569,0.417606117047348,3,310.1,9.951680346000003,819.5,20161026,71600,LEEC05
LEEC05__0__20161130_064400_aa.wav,colu_talp,4302.07196841711,0.491523,0.3941395,3.57355350874341,0.0118573115755417,2072.78562658325,12948.3264053349,8.291142506333e-07,33.1655438843916,0.160081354276737,0.511140737098675,0.5183699535131,0.986053943972965,0.323082158843254,13426.0667274844,0.141504997480702,81,77.6644941708157,0.0257246067031464,67.3024278481995,31.8713479904078,10.802341280199,-3.1261712258422,-12.6959432667352,-10.9060097628723,-6.6811136468829,-5.24969507498773,-7.20676722442921,-7.480236950092,-5.06215145086594,-2.37882559817354,0.0442113518282521,1,330.3,2.1213195419999984,792.8,20161130,64400,LEEC05
LEEC05__0__20161202_072900_aa.wav,colu_talp,8198.60754454727,0.4939535,0.3932265,3.93605440288443,0.0150081268941945,3606.41629067205,29799.044473847,1.44256651626882e-06,35.5707585613758,0.121024561503548,0.503322463805037,0.509446548008268,0.98797894651132,0.446502390530902,17950.8398210013,0.110034762213708,112,80.8594461536807,0.0239872685185185,76.5539885586217,26.5483939093525,7.76224993435295,0.168306778181815,-9.04193409735126,-9.31392633344382,-8.80234315525923,-6.71236288075582,-7.02361857384655,-6.59247729935419,-5.63694178398746,-3.06766833560525,0.266052347809038,1,383.0,3.915519715000002,683.8,20161202,72900,LEEC05
LEEC05__0__20161203_055900_aa.wav,colu_talp,18055.4006895683,0.4967305,0.3923015,4.61379735002407,0.016468960092819,3253.32008912224,25041.3789453221,1.3013280356489e-06,35.1232679494513,0.129917769154242,0.498942221270895,0.504725642517315,0.988541455477523,0.421485722545477,16871.7194879508,0.0718335953863267,99,79.8520247535683,0.0285186876336422,75.5471914626429,27.5121995456365,6.5546115413143,-3.68686175544208,-14.2831515439913,-13.5078700907588,-9.93743044999254,-6.40880533344395,-6.62520748622167,-5.42847428058675,-3.24727883224309,0.311529550489711,0.340848936378786,1,409.0,8.143271775999999,843.5,20161203,55900,LEEC05
LEEC05__0__20161204_055900_aa.wav,colu_talp,585.302088821904,0.618282,0.362889,5.54897613906533,0.0163525495748732,2678.41971072395,15133.3508766657,1.07136788428958e-06,34.2787863233585,0.176987881438329,0.52130996596515,0.530416656869449,0.982831061607214,0.382344314962843,15812.3228393469,0.460082552984157,80,78.5102497017623,0.0317659198113208,76.0090071182962,30.1479036979556,7.27545593000448,-6.55139559882734,-15.0347583199681,-11.5965141428525,-6.83585491060971,-3.95129267166595,-4.61005373277734,-4.38361409980951,-2.08296618084893,-0.912287664607347,0.0147044407411038,1,337.2,0.3072939519999949,1011.5,20161204,55900,LEEC05
LEEC05__0__20161205_072900_aa.wav,colu_talp,7059.31430154636,0.297885,0.4216995,4.78335665751349,0.0048058372972093,363.907673857648,2295.34304792828,1.45563069543059e-07,25.6099121381347,0.158541737012297,0.488604227905031,0.495331131431029,0.98641938069476,0.138136860162304,5782.26551966567,0.0782347031199667,130,70.0411545899478,0.0241579791499599,53.5942545169819,32.9170624955259,13.3734559553192,-3.03834189351758,-12.0797377707229,-10.9457749496382,-5.89806183239653,-4.83214400384578,-6.77618473584177,-7.69029061764037,-5.66719891805969,-2.97287908648839,0.0125477894324086,1,248.7,3.6168210629999997,746.1,20161205,72900,LEEC05
LEEC06__0__20170103_055900_br.wav,colu_talp,5248.68778817094,0.739784,0.3207875,3.87108200853918,0.0247606328800826,7530.68995832499,56328.7522965753,3.01227598333e-06,38.768347678828,0.133691758671936,0.570623241583538,0.576462148890814,0.989871134959146,0.702117864207296,25420.5641924837,0.078051942261877,114,83.5673242629514,0.0276089159067882,97.8877613561161,17.2038437590735,-0.742264254545394,-0.688996390150885,-7.42521152730015,-7.92954955649155,-12.0522256479496,-11.4721456390033,-9.52669086515962,-3.91232152256707,-0.890230990302613,0.372585750439058,0.55102440937163,2,388.5,2.864772651999999,728.5,20170103,55900,LEEC06
LEEC09__0__20161124_054600_aa.wav,colu_talp,10715.996878647,0.634415,0.3590475,4.62018178949392,0.0198904990069718,3031.86419125685,15453.6367254844,1.21274567650274e-06,34.8170974369197,0.196190983722105,0.561742471229499,0.568457116925111,0.9881879468201,0.409007067410846,16345.7114479379,0.086593207843589,91,79.4713021875489,0.035295996592845,80.5447256279543,28.7045026650211,3.56297036512266,-10.0373776915836,-18.5318080628599,-12.1744655629415,-5.24791754597117,-1.36712899823315,-3.19683794049581,-3.70551630885198,-3.04280219594526,-3.47146116012785,0.279972551710617,1,245.0,5.109275725,1041.2,20161124,54600,LEEC09
